,names,mass,distance,discovery_year,stellar_magnitude
1187,K2-110 b,16.7 Earths,380,2017,11.985
1188,K2-111 b,5.29 Earths,654,2017,11.13
1189,K2-111 c,11.3 Earths,654,2020,11.13
1190,K2-113 b,1.29 Jupiters,2074,2017,13.744
1191,K2-114 b,2.01 Jupiters,1552,2017,14.55
1192,K2-115 b,0.84 Jupiters,1349,2017,13.444
1193,K2-116 b,0.257 Earths,161,2017,10.8
1194,K2-117 b,4.78 Earths,332,2017,14.639
1195,K2-117 c,4.9 Earths,332,2017,14.639
1196,K2-118 b,6.99 Earths,1049,2017,14
1197,K2-119 b,6.94 Earths,1193,2017,14.818
1198,K2-11 b,0.14 Jupiters,1074,2015,13.409
1199,K2-120 b,4.7 Earths,944,2017,14.092
1200,K2-121 b,0.139 Jupiters,553,2017,13.229
1201,K2-122 b,1.65 Earths,235,2017,13.105
1202,K2-123 b,8.05 Earths,527,2017,14.781
1203,K2-124 b,8.75 Earths,458,2017,16.692
1204,K2-125 b,5.39 Earths,405,2017,16.4
1205,K2-126 b,4.54 Earths,336,2017,12.759
1206,K2-127 b,0.167 Jupiters,2316,2017,15.041
1207,K2-128 b,2.6 Earths,374,2017,12.58
1208,K2-129 b,1.12 Earths,91,2017,13.639
1209,K2-12 b,6.04 Earths,1065,2015,12.38
1210,K2-130 b,2.1 Earths,385,2017,12.676
1211,K2-131 b,6.3 Earths,497,2017,12.129
1212,K2-132 b,0.49 Jupiters,1989,2017,12.071
1213,K2-133 b,2.36 Earths,245,2017,14.073
1214,K2-133 c,3.2 Earths,245,2017,14.073
1215,K2-133 d,4.67 Earths,245,2017,14.073
1216,K2-133 e,3.64 Earths,245,2019,14.073
1217,K2-136 b,0.937 Earths,193,2017,11.101
1218,K2-136 c,8.8 Earths,193,2017,11.101
1219,K2-136 d,2.7 Earths,193,2017,11.101
1220,K2-137 b,0.5 Jupiters,323,2017,15.94
1221,K2-138 b,3.1 Earths,661,2017,12.246
1222,K2-138 c,6.31 Earths,661,2017,12.246
1223,K2-138 d,7.92 Earths,661,2017,12.246
1224,K2-138 e,12.97 Earths,661,2017,12.246
1225,K2-138 f,1.63 Earths,661,2017,12.246
1226,K2-138 g,4.32 Earths,661,2021,12.246
1227,K2-139 b,0.387 Jupiters,502,2017,11.652
1228,K2-13 b,4.23 Earths,1117,2015,12.882
1229,K2-140 b,0.93 Jupiters,1135,2017,12.727
1230,K2-141 b,5.08 Earths,202,2018,11.454
1231,K2-141 c,7.4 Earths,202,2018,11.454
1232,K2-146 b,5.77 Earths,259,2018,16.7
1233,K2-146 c,7.49 Earths,259,2019,16.7
1234,K2-147 b,0.315 Earths,295,2018,14.044
1235,K2-148 b,2.33 Earths,406,2018,13.627
1236,K2-148 c,3.64 Earths,406,2018,13.627
1237,K2-148 d,3.33 Earths,406,2018,13.627
1238,K2-149 b,3.33 Earths,403,2018,14.543
1239,K2-14 b,20.7 Earths,1188,2015,15.78
1240,K2-150 b,4.66 Earths,334,2018,15.784
1241,K2-151 b,2.83 Earths,227,2018,14.175
1242,K2-152 b,5.86 Earths,354,2018,13.728
1243,K2-153 b,4.66 Earths,467,2018,14.96
1244,K2-154 b,4.62 Earths,422,2018,13.861
1245,K2-154 c,4.94 Earths,422,2018,13.861
1246,K2-155 b,3.89 Earths,237,2018,12.773
1247,K2-155 c,7.27 Earths,237,2018,12.773
1248,K2-155 d,4.27 Earths,237,2018,12.773
1249,K2-156 b,1.37 Earths,490,2018,13.4
1250,K2-157 b,0.972 Earths,973,2018,12.942
1251,K2-158 b,7.46 Earths,644,2018,11.774
1252,K2-158 c,2.18 Earths,644,2018,11.774
1253,K2-159 b,5.73 Earths,558,2018,11.995
1254,K2-15 b,6.71 Earths,1611,2015,14.758
1255,K2-160 b,10.2 Earths,1029,2018,12.838
1256,K2-161 b,31.1 Earths,2989,2018,12.718
1257,K2-162 b,2.67 Earths,406,2018,12.278
1258,K2-163 b,6.65 Earths,680,2018,13.078
1259,K2-164 b,10.6 Earths,1225,2018,11.352
1260,K2-165 b,2.17 Earths,439,2018,11.332
1261,K2-165 c,3.03 Earths,439,2018,11.332
1262,K2-165 d,7.5 Earths,439,2018,11.332
1263,K2-166 b,5.43 Earths,1556,2018,12.081
1264,K2-167 b,5.75 Earths,264,2018,8.24
1265,K2-168 b,4.12 Earths,796,2018,12.365
1266,K2-169 b,2.16 Earths,769,2018,12.23
1267,K2-16 b,4.74 Earths,1093,2015,14.668
1268,K2-16 c,6.99 Earths,1093,2015,14.668
1269,K2-170 b,2.6 Earths,1282,2018,12.668
1270,K2-170 c,3.9 Earths,1282,2018,12.668
1271,K2-171 b,7.69 Earths,1977,2018,12.745
1272,K2-172 b,3.42 Earths,815,2018,12.5
1273,K2-172 c,10.4 Earths,815,2018,12.5
1274,K2-173 b,3.22 Earths,746,2018,12.523
1275,K2-174 b,7.27 Earths,326,2018,12.456
1276,K2-175 b,4.81 Earths,807,2018,10.836
1277,K2-176 b,2.83 Earths,807,2018,12.909
1278,K2-177 b,5.13 Earths,1605,2018,12.681
1279,K2-178 b,12.4 Earths,701,2018,12.382
1280,K2-179 b,6.86 Earths,622,2018,12.939
1281,K2-17 b,5.6 Earths,408,2015,13.411
1282,K2-180 b,11.44182 Earths,665,2018,12.557
1283,K2-181 b,8.45 Earths,1177,2018,12.669
1284,K2-182 b,20 Earths,505,2018,11.833
1285,K2-183 b,1.37 Earths,1073,2018,12.867
1286,K2-183 c,5.9 Earths,1073,2018,12.867
1287,K2-183 d,5.9 Earths,1073,2018,12.867
1288,K2-184 b,2.76 Earths,247,2018,10.345
1289,K2-185 b,1.6 Earths,875,2018,12.235
1290,K2-185 c,6.3 Earths,875,2018,12.235
1291,K2-186 b,10.2 Earths,1079,2018,12.413
1292,K2-187 b,1.87 Earths,1079,2018,13.102
1293,K2-187 c,2.54 Earths,1079,2018,13.102
1294,K2-187 d,6.35 Earths,1079,2018,13.102
1295,K2-187 e,4.27 Earths,1079,2018,13.102
1296,K2-188 b,2.39 Earths,1458,2018,12.657
1297,K2-188 c,8.4 Earths,1458,2018,12.657
1298,K2-189 b,2.92 Earths,790,2018,12.398
1299,K2-189 c,6.8 Earths,790,2018,12.398
1300,K2-18 b,8.92 Earths,124,2015,13.477
1301,K2-18 c,7.51 Earths,124,2017,13.477
1302,K2-190 b,2.41 Earths,524,2018,11.138
1303,K2-190 c,1.34 Earths,524,2018,11.138
1304,K2-191 b,3.12 Earths,937,2018,13.329
1305,K2-192 b,2.92 Earths,723,2018,12.656
1306,K2-193 b,14.8 Earths,1344,2018,13.341
1307,K2-194 b,12.9 Earths,2053,2018,12.998
1308,K2-195 b,9.96 Earths,1028,2018,12.524
1309,K2-195 c,7.16 Earths,1028,2018,12.524
1310,K2-196 b,12.6 Earths,1908,2018,12.241
1311,K2-197 b,7.08 Earths,808,2018,12.199
1312,K2-198 b,16.3 Earths,361,2018,10.971
1313,K2-198 c,2.61 Earths,361,2019,10.971
1314,K2-198 d,6.52 Earths,361,2019,10.971
1315,K2-199 b,6.9 Earths,351,2018,12.358
1316,K2-199 c,12.4 Earths,351,2018,12.358
1317,K2-19 b,32.4 Earths,945,2015,13.024
1318,K2-19 c,10.8 Earths,945,2015,13.024
1319,K2-19 d,10 Earths,945,2016,13.024
1320,K2-200 b,2.43 Earths,601,2018,12.428
1321,K2-201 b,2.54 Earths,646,2018,12.168
1322,K2-201 c,10.8 Earths,646,2018,12.168
1323,K2-202 b,5.91 Earths,980,2018,13.354
1324,K2-203 b,2.45 Earths,542,2018,12.391
1325,K2-204 b,9.51 Earths,1883,2018,12.985
1326,K2-205 b,4.64 Earths,1322,2018,12.45
1327,K2-206 b,8.22 Earths,797,2018,13.084
1328,K2-207 b,7.3 Earths,1184,2018,13.175
1329,K2-208 b,3.46 Earths,838,2018,12.577
1330,K2-209 b,0.586 Earths,250,2018,11.061
1331,K2-210 b,0.566 Earths,576,2018,11.535
1332,K2-211 b,2.24 Earths,888,2018,13.1547
1333,K2-212 b,6.9 Earths,356,2018,12.977
1334,K2-213 b,2.9 Earths,1271,2018,11.803
1335,K2-214 b,6.48 Earths,981,2018,11.806
1336,K2-215 b,5.16 Earths,1318,2018,12.99
1337,K2-216 b,8 Earths,377,2018,12.403
1338,K2-217 b,12.5 Earths,1246,2018,12.264
1339,K2-218 b,7.13 Earths,1285,2018,12.92
1340,K2-219 b,2.38 Earths,1061,2018,12.09
1341,K2-219 c,2.66 Earths,1061,2018,12.09
1342,K2-219 d,7.16 Earths,1061,2018,12.09
1343,K2-21 b,4.04 Earths,273,2015,12.851
1344,K2-21 c,6.76 Earths,273,2015,12.851
1345,K2-220 b,6.3 Earths,762,2018,11.873
1346,K2-221 b,3.46 Earths,1040,2018,12.571
1347,K2-222 b,6.3 Earths,331,2018,9.543
1348,K2-223 b,0.64 Earths,648,2018,11.443
1349,K2-223 c,2.86 Earths,648,2018,11.443
1350,K2-224 b,3.05 Earths,898,2018,12.7
1351,K2-224 c,6.39 Earths,898,2018,12.7
1352,K2-225 b,12 Earths,1167,2018,11.836
1353,K2-226 b,2.99 Earths,689,2018,12.337
1354,K2-227 b,3.41 Earths,611,2018,12.015
1355,K2-228 b,1.92 Earths,422,2018,13.028
1356,K2-229 b,2.49 Earths,335,2018,10.985
1357,K2-229 c,21.3 Earths,335,2018,10.985
1358,K2-22 b,1.4 Jupiters,795,2015,15.565
1359,K2-230 b,4.5 Earths,1764,2018,12.789
1360,K2-231 b,6.8 Earths,1048,2018,12.768
1361,K2-232 b,0.398 Jupiters,426,2018,9.822
1362,K2-233 b,11.26 Earths,220,2018,10.883
1363,K2-233 c,12.81 Earths,220,2018,10.883
1364,K2-233 d,21.14 Earths,220,2018,10.883
1365,K2-237 b,1.363 Jupiters,1028,2018,11.602
1366,K2-238 b,0.86 Jupiters,1755,2018,13.973
1367,K2-239 b,1.37 Earths,101,2018,14.632
1368,K2-239 c,0.972 Earths,101,2018,14.632
1369,K2-239 d,1.37 Earths,101,2018,14.632
1370,K2-240 b,4.66 Earths,238,2018,13.372
1371,K2-240 c,3.89 Earths,238,2018,13.372
1372,K2-241 b,7.04 Earths,488,2018,11.97
1373,K2-242 b,6.99 Earths,356,2018,16.414
1374,K2-243 b,5.35 Earths,871,2018,10.971
1375,K2-243 c,4.7 Earths,871,2018,10.971
1376,K2-244 b,3.71 Earths,694,2018,11.78
1377,K2-245 b,17.4 Earths,1488,2018,12.755
1378,K2-246 b,12 Earths,2295,2018,14.792
1379,K2-247 b,5.14 Earths,842,2018,14.857
1380,K2-247 c,5.43 Earths,842,2018,14.857
1381,K2-248 b,7.13 Earths,1325,2018,13.497
1382,K2-249 b,8.2 Earths,1702,2018,12.646
1383,K2-24 b,19 Earths,556,2016,11.275
1384,K2-24 c,15.4 Earths,556,2016,11.275
1385,K2-250 b,6.53 Earths,1353,2018,14.314
1386,K2-251 b,6.12 Earths,480,2018,15.66
1387,K2-252 b,3.68 Earths,746,2018,12.93
1388,K2-253 b,Unknown,2859,2018,15.002
1389,K2-254 b,3.29 Earths,743,2018,14.238
1390,K2-254 c,5.43 Earths,743,2018,14.238
1391,K2-255 b,8.75 Earths,625,2018,13.662
1392,K2-256 b,7.41 Earths,1842,2018,14.954
1393,K2-257 b,0.498 Earths,209,2018,13.716
1394,K2-258 b,9.27 Earths,2159,2018,13.361
1395,K2-259 b,5.99 Earths,1358,2018,12.511
1396,K2-25 b,24.5 Earths,147,2015,16.21
1397,K2-260 b,1.42 Jupiters,2165,2018,12.624
1398,K2-261 b,0.188 Jupiters,696,2018,10.612
1399,K2-263 b,14.8 Earths,530,2018,11.568
1400,K2-264 b,5.61 Earths,605,2018,16.701
1401,K2-264 c,7.6 Earths,605,2018,16.701
1402,K2-265 b,6.54 Earths,452,2018,11.187
1403,K2-266 b,11.26782 Earths,253,2018,11.625
1404,K2-266 c,0.29013 Earths,253,2018,11.625
1405,K2-266 d,8.9 Earths,253,2018,11.625
1406,K2-266 e,14.3 Earths,253,2018,11.625
1407,K2-268 b,2.86 Earths,1069,2018,13.848
1408,K2-268 c,7.7 Earths,1069,2018,13.848
1409,K2-268 d,2.83 Earths,1069,2019,13.848
1410,K2-268 e,2.33 Earths,1069,2019,13.848
1411,K2-268 f,5.6 Earths,1069,2019,13.848
1412,K2-269 b,3.09 Earths,1177,2018,11.784
1413,K2-26 b,7.61 Earths,323,2016,14.528
1414,K2-270 b,2.48 Earths,915,2018,13.847
1415,K2-270 c,9.01 Earths,915,2018,13.847
1416,K2-271 b,0.131 Jupiters,1841,2018,13.845
1417,K2-272 b,9.96 Earths,1380,2018,13.872
1418,K2-273 b,9.53 Earths,1005,2018,13.246
1419,K2-274 b,4.98 Earths,745,2018,13.181
1420,K2-275 b,6.08 Earths,403,2018,11.974
1421,K2-275 c,5.52 Earths,403,2018,11.974
1422,K2-276 b,13.7 Earths,1592,2018,14.654
1423,K2-277 b,4.94 Earths,369,2018,10.364
1424,K2-278 b,9.17 Earths,2565,2018,13.446
1425,K2-279 b,1.92 Earths,597,2018,11.491
1426,K2-27 b,30.9 Earths,814,2016,12.689
1427,K2-280 b,37.1 Earths,1277,2018,12.524
1428,K2-281 b,0.16 Jupiters,1494,2018,15.048
1429,K2-282 b,6.8 Earths,1619,2018,14.21
1430,K2-283 b,12.2 Earths,1314,2018,14.364
1431,K2-284 b,8.15 Earths,350,2018,13.265
1432,K2-285 b,9.68 Earths,505,2018,12.075
1433,K2-285 c,15.68 Earths,505,2018,12.075
1434,K2-285 d,6.5 Earths,505,2018,12.075
1435,K2-285 e,10.7 Earths,505,2018,12.075
1436,K2-286 b,5.06 Earths,248,2018,12.881
1437,K2-287 b,0.315 Jupiters,516,2018,11.41
1438,K2-288 B b,4.27 Earths,214,2018,13.868
1439,K2-289 b,0.192 Jupiters,895,2019,14.81
1440,K2-28 b,5.99 Earths,205,2016,16.526
1441,K2-290 b,10.9 Earths,890,2019,11.114
1442,K2-290 c,0.774 Jupiters,890,2019,11.114
1443,K2-291 b,6.49 Earths,294,2019,10.014
1444,K2-292 b,24.5 Earths,373,2019,9.885
1445,K2-293 b,6.57 Earths,1280,2019,13.44
1446,K2-294 b,3.39 Earths,1217,2019,12.649
1447,K2-295 b,0.335 Jupiters,759,2018,13.8941
1448,K2-29 b,0.73 Jupiters,582,2016,12.532
1449,K2-308 b,0.222 Jupiters,4288,2019,15.072
1450,K2-30 b,0.579 Jupiters,1086,2016,13.547
1451,K2-315 b,0.809 Earths,186,2020,17.67
1452,K2-316 b,2.33 Earths,367,2020,17.14
1453,K2-316 c,4.01 Earths,367,2020,17.14
1454,K2-317 b,8.91 Earths,575,2020,17.74
1455,K2-318 b,3.39 Earths,482,2020,15.8
1456,K2-319 b,8.2 Earths,682,2020,12.213
1457,K2-31 b,1.774 Jupiters,361,2016,10.802
1458,K2-320 b,7.37 Earths,355,2020,17.81
1459,K2-321 b,4.46 Earths,253,2020,13.677
1460,K2-322 b,4.35 Earths,403,2020,13.963
1461,K2-323 b,5.06 Earths,386,2020,14.935
1462,K2-324 b,6.48 Earths,446,2020,15.223
1463,K2-325 b,5.48 Earths,364,2020,17.77
1464,K2-326 b,5.82 Earths,921,2020,15.982
1465,K2-329 b,0.26 Jupiters,761,2020,12.697
1466,K2-32 b,15 Earths,514,2016,12.304
1467,K2-32 c,8.1 Earths,514,2016,12.304
1468,K2-32 d,6.7 Earths,514,2016,12.304
1469,K2-32 e,2.1 Earths,514,2019,12.304
1470,K2-330 b,8.1 Earths,522,2016,9.608
1471,K2-331 b,3.86 Earths,690,2021,11.305
1472,K2-331 c,7.85 Earths,690,2018,11.305
1473,K2-332 b,5.48 Earths,402,2016,16.4791
1474,K2-333 b,31.6 Earths,1122,2018,12.073
1475,K2-334 b,27.2 Earths,1213,2018,11.842
1476,K2-335 b,5.52 Earths,1820,2016,12.556
1477,K2-336 b,1.98 Earths,781,2016,12.803
1478,K2-337 b,7.37 Earths,1375,2016,12.385
1479,K2-338 b,1.08 Earths,512,2016,13.322
1480,K2-339 b,4.35 Earths,1175,2019,14.487
1481,K2-33 b,3.7 Jupiters,454,2016,15.838
1482,K2-340 b,11.2 Earths,2408,2016,14.428
1483,K2-341 b,10.4 Earths,1375,2018,12.725
1484,K2-342 b,4.78 Earths,680,2018,11.338
1485,K2-343 b,3.36 Earths,542,2019,16.01
1486,K2-343 c,4.74 Earths,542,2018,16.01
1487,K2-344 b,3.15 Earths,245,2018,13.423
1488,K2-345 b,5.1 Earths,530,2016,15.72
1489,K2-346 b,5.73 Earths,344,2016,11.903
1490,K2-347 b,6.39 Earths,1045,2016,15.15
1491,K2-348 b,10.7 Earths,658,2018,12.572
1492,K2-348 c,7.61 Earths,658,2018,12.572
1493,K2-349 b,2.48 Earths,1480,2016,14.585
1494,K2-34 b,1.698 Jupiters,1137,2016,11.447
1495,K2-350 b,2.99 Earths,1596,2021,13.449
1496,K2-350 c,7.95 Earths,1596,2016,13.449
1497,K2-351 b,6.99 Earths,2266,2016,14.195
1498,K2-352 b,2.45 Earths,574,2021,11.125
1499,K2-352 c,4.35 Earths,574,2018,11.125
1500,K2-352 d,5.6 Earths,574,2018,11.125
1501,K2-353 b,26.3 Earths,876,2021,12.337
1502,K2-354 b,3.05 Earths,299,2016,15.296
1503,K2-355 b,5.69 Earths,1633,2021,13.707
1504,K2-356 b,5.86 Earths,1160,2021,13.268
1505,K2-357 b,13.4 Earths,1689,2021,13.748
1506,K2-358 b,7.65 Earths,1567,2021,13.699
1507,K2-35 b,2.3 Earths,824,2016,14.166
1508,K2-35 c,4.38 Earths,824,2016,14.166
1509,K2-365 b,8.78 Earths,611,2022,11.372
1510,K2-366 b,6.16 Earths,607,2022,12.636
1511,K2-367 b,6.41 Earths,577,2022,13.794
1512,K2-368 b,2.34 Earths,674,2022,13.581
1513,K2-368 c,2.42 Earths,674,2022,13.581
1514,K2-368 d,4.45 Earths,674,2022,13.581
1515,K2-369 b,2.28 Earths,605,2022,11.789
1516,K2-36 b,3.9 Earths,358,2016,11.726
1517,K2-36 c,7.8 Earths,358,2016,11.726
1518,K2-370 b,10.4 Earths,470,2022,11.109
1519,K2-371 b,Unknown,1444,2022,14.492
1520,K2-372 b,8.98 Earths,1513,2022,13.589
1521,K2-373 b,4.9 Earths,749,2022,10.47
1522,K2-374 b,3.16 Earths,1172,2022,12.783
1523,K2-374 c,5.53 Earths,1172,2022,12.783
1524,K2-375 b,5.66 Earths,2271,2022,13.164
1525,K2-376 b,3.66 Earths,527,2022,10.415
1526,K2-377 b,3.51 Earths,637,2022,14.107
1527,K2-378 b,8.65 Earths,2244,2022,16.029
1528,K2-379 b,5.4 Earths,594,2022,13.265
1529,K2-37 b,3.22 Earths,587,2016,12.573
1530,K2-37 c,8 Earths,587,2016,12.573
1531,K2-37 d,7.9 Earths,587,2016,12.573
1532,K2-380 b,7.89 Earths,813,2022,11.688
1533,K2-381 b,1.26 Earths,475,2022,12.883
1534,K2-381 c,4.66 Earths,475,2022,12.883
1535,K2-381 d,3.5 Earths,475,2022,12.883
1536,K2-382 b,4.95 Earths,908,2022,12.977
1537,K2-383 b,3.07 Earths,665,2022,12.689
1538,K2-384 b,1.26 Earths,270,2022,16.12
1539,K2-384 c,1.82 Earths,270,2022,16.12
1540,K2-384 d,2.52 Earths,270,2022,16.12
1541,K2-384 e,2.37 Earths,270,2022,16.12
1542,K2-384 f,5.57 Earths,270,2022,16.12
1543,K2-385 b,2.98 Earths,1373,2022,14.645
1544,K2-386 b,5.99 Earths,1399,2022,13.241
1545,K2-387 b,0.133 Jupiters,869,2022,16.147
1546,K2-388 b,13 Earths,948,2022,12.861
1547,K2-389 b,5.41 Earths,846,2022,11.827
1548,K2-389 c,4.82 Earths,846,2022,11.827
1549,K2-38 b,19.0698 Earths,629,2016,11.344
1550,K2-38 c,9.9 Earths,629,2016,11.344
1551,K2-390 b,19.6 Earths,1488,2022,13.611
1552,K2-391 b,2.45 Earths,1657,2022,12.527
1553,K2-392 b,4.08 Earths,1328,2022,12.922
1554,K2-393 b,6.13 Earths,867,2022,11.84
1555,K2-394 b,3.51 Earths,320,2022,12.768
1556,K2-395 b,7.26 Earths,935,2022,15.131
1557,K2-395 c,11.4 Earths,935,2022,15.131
1558,K2-396 b,3.12 Earths,897,2022,13.32
1559,K2-396 c,9.93 Earths,897,2022,13.32
1560,K2-397 b,6.42 Earths,650,2022,11.865
1561,K2-398 b,5.79 Earths,1980,2022,13.287
1562,K2-398 c,22.8 Earths,1980,2022,13.287
1563,K2-399 b,30.5 Earths,1682,2022,12.478
1564,K2-39 b,28.6047 Earths,1003,2016,10.831
1565,K2-3 b,6.48 Earths,144,2015,12.168
1566,K2-3 c,2.14 Earths,144,2015,12.168
1567,K2-3 d,2.80007 Earths,144,2015,12.168
1568,K2-400 b,1.67 Earths,203,2022,15.108
1569,K2-401 b,5.74 Earths,655,2022,14.014
1570,K2-402 b,7.65 Earths,1706,2022,13.032
1571,K2-403 b,24.6 Earths,804,2022,12.305
1572,K2-404 b,6.94 Earths,397,2022,14.622
1573,K2-405 b,18.9 Earths,643,2022,12.816
1574,K2-406 b,19.2 Earths,278,2022,9.465
1575,K2-407 b,2.19 Earths,712,2022,11.969
1576,K2-407 c,2.42 Earths,712,2022,11.969
1577,K2-408 b,3.45 Earths,529,2022,12.056
1578,K2-409 b,6.72 Earths,1406,2022,12.902
1579,K2-42 b,5.27 Earths,1295,2016,15.006
1580,K2-43 b,18.5 Earths,595,2016,15.748
1581,K2-43 c,6.44 Earths,595,2019,15.748
1582,K2-44 b,6.5 Earths,1555,2016,12.27
1583,K2-45 b,36.4 Earths,1616,2016,15.746
1584,K2-46 b,4.86 Earths,1465,2016,12.144
1585,K2-47 b,4.23 Earths,1141,2016,14.065
1586,K2-48 b,5.65 Earths,1023,2016,14.345
1587,K2-49 b,4.38 Earths,1491,2016,15.668
1588,K2-4 b,5.06 Earths,756,2015,14.855
1589,K2-50 b,3.15 Earths,840,2016,14.705
1590,K2-52 b,144 Jupiters,3387,2016,15.93
1591,K2-53 b,7.27 Earths,450,2016,12.634
1592,K2-54 b,1.6 Earths,571,2016,14.542
1593,K2-55 b,14 Earths,520,2016,13.519
1594,K2-57 b,5.06 Earths,862,2016,14.414
1595,K2-58 b,7.65 Earths,593,2016,12.415
1596,K2-58 c,3.26 Earths,593,2016,12.415
1597,K2-58 d,3.57 Earths,593,2016,12.415
1598,K2-59 b,6.39 Earths,1016,2016,14.266
1599,K2-59 c,5.9 Earths,1016,2016,14.266
1600,K2-5 b,4.31 Earths,662,2015,14.974
1601,K2-5 c,5.73 Earths,662,2015,14.974
1602,K2-60 b,0.426 Jupiters,1604,2016,12.857
1603,K2-61 b,6.71 Earths,1323,2016,13.173
1604,K2-62 b,5.22 Earths,367,2016,12.391
1605,K2-62 c,5.22 Earths,367,2016,12.391
1606,K2-63 b,10.5 Earths,1688,2016,12.98
1607,K2-63 c,14.5 Earths,1688,2016,12.98
1608,K2-64 b,4.94 Earths,1631,2016,14.132
1609,K2-65 b,3.12 Earths,236,2016,10.71
1610,K2-66 b,21.3 Earths,1676,2016,11.71
1611,K2-68 b,3.12 Earths,550,2016,12.987
1612,K2-69 b,5.99 Earths,589,2016,16.024
1613,K2-6 b,6.8 Earths,1033,2015,12.66
1614,K2-70 b,8.7 Earths,760,2016,13.074
1615,K2-71 b,5.27 Earths,500,2016,16.14
1616,K2-72 b,1.28 Earths,217,2016,15.37
1617,K2-72 c,1.65 Earths,217,2016,15.37
1618,K2-72 d,1.01 Earths,217,2016,15.37
1619,K2-72 e,2.21 Earths,217,2016,15.37
1620,K2-73 b,6.57 Earths,878,2016,11.345
1621,K2-74 b,5.95 Earths,1232,2016,12.715
1622,K2-75 b,7.61 Earths,1833,2016,12.803
1623,K2-75 c,8.1 Earths,1833,2016,12.803
1624,K2-77 b,1.9 Jupiters,462,2016,12.224
1625,K2-79 b,13.2 Earths,835,2016,12.152
1626,K2-7 b,7.61 Earths,2409,2015,13.453
1627,K2-80 b,4.7 Earths,655,2016,12.694
1628,K2-80 c,2.76 Earths,655,2016,12.694
1629,K2-80 d,7.04 Earths,655,2018,12.694
1630,K2-81 b,4.54 Earths,823,2016,14.314
1631,K2-83 b,2.08 Earths,409,2016,14.522
1632,K2-83 c,2.8 Earths,409,2016,14.522
1633,K2-84 b,6.39 Earths,929,2016,13.386
1634,K2-84 c,4.78 Earths,929,2016,13.386
1635,K2-85 b,1.87 Earths,317,2016,12.416
1636,K2-86 b,4.5 Earths,844,2016,13.041
1637,K2-87 b,0.141 Jupiters,1602,2016,14.136
1638,K2-88 b,2.04 Earths,361,2016,15.523
1639,K2-89 b,0.17 Earths,281,2016,14.162
1640,K2-8 b,12.5 Earths,1316,2015,14.801
1641,K2-8 c,6.39 Earths,1316,2016,14.801
1642,K2-90 b,7.27 Earths,438,2016,13.707
1643,K2-90 c,2.24 Earths,438,2016,13.707
1644,K2-91 b,1.37 Earths,204,2016,15.622
1645,K2-95 b,11 Earths,587,2016,17.236
1646,K2-97 b,0.48 Jupiters,2865,2016,12.486
1647,K2-98 b,32.2 Earths,1692,2016,12.216
1648,K2-99 b,0.97 Jupiters,1694,2016,11.149
1649,K2-9 b,5.69 Earths,271,2015,15.86
1650,Kappa Andromedae b,13.616 Jupiters,163,2012,4.13791
1651,Kappa Coronae Borealis b,2 Jupiters,98,2007,4.79734
1652,Kapteyn c,7 Earths,13,2014,8.86
1653,KELT-10 b,0.679 Jupiters,615,2016,10.617
1654,KELT-11 b,0.171 Jupiters,323,2017,8.04
1655,KELT-12 b,0.95 Jupiters,1201,2017,10.585
1656,KELT-14 b,1.284 Jupiters,816,2016,11.001
1657,KELT-15 b,1.31 Jupiters,1059,2016,11.39
1658,KELT-16 b,2.75 Jupiters,1450,2017,11.717
1659,KELT-17 b,1.31 Jupiters,739,2016,9.234
1660,KELT-18 b,1.18 Jupiters,1048,2017,10.16
1661,KELT-19 A b,4.07 Jupiters,980,2017,9.857
1662,KELT-1 b,27.23 Jupiters,876,2012,10.632
1663,KELT-20 b,3.382 Jupiters,445,2017,7.59
1664,KELT-21 b,3.91 Jupiters,1536,2018,10.484
1665,KELT-23 A b,0.938 Jupiters,412,2019,10.308
1666,KELT-24 b,5.18 Jupiters,315,2019,8.34
1667,KELT-2 A b,1.7 Jupiters,437,2012,8.68
1668,KELT-3 b,1.94 Jupiters,686,2013,9.816
1669,KELT-4 A b,0.902 Jupiters,711,2016,9.98
1670,KELT-6 b,0.52 Jupiters,785,2014,10.371
1671,KELT-6 c,3.71 Jupiters,785,2015,10.371
1672,KELT-7 b,1.39 Jupiters,446,2015,8.56
1673,KELT-8 b,0.66 Jupiters,644,2015,10.845
1674,KELT-9 b,2.88 Jupiters,667,2017,7.55
1675,Kepler-1000 b,20.3 Earths,3639,2016,13.23
1676,Kepler-1001 b,10.1 Earths,3030,2016,15.582
1677,Kepler-1001 c,3.11 Earths,3030,2020,15.582
1678,Kepler-1002 b,3.57 Earths,1332,2016,11.821
1679,Kepler-1003 b,3.82 Earths,3072,2016,14.132
1680,Kepler-1004 b,32.5 Earths,3760,2016,13.705
1681,Kepler-1005 b,2.86 Earths,1852,2016,13.371
1682,Kepler-1006 b,2.99 Earths,3529,2016,14.467
1683,Kepler-1007 b,2.67 Earths,1191,2016,14.981
1684,Kepler-1008 b,2.18 Earths,922,2016,13.59
1685,Kepler-1009 b,5.35 Earths,1158,2016,15.758
1686,Kepler-100 b,7.34 Earths,994,2014,11.055
1687,Kepler-100 c,7.05 Earths,994,2014,11.055
1688,Kepler-100 d,3 Earths,994,2014,11.055
1689,Kepler-1010 b,5.99 Earths,1890,2016,14.964
1690,Kepler-1011 b,8.6 Earths,2403,2016,15.294
